,mi_score
sbytes,0.4675249696962658
sttl,0.39766729554103897
dbytes,0.3718914250344043
ct_state_ttl,0.36312234342027483
dttl,0.35644314796669496
rate,0.3534743319659259
sload,0.34740760545796623
dur,0.33927187006427184
smean,0.33526225923187103
dmean,0.31394947254722494
dinpkt,0.2975649942167464
dload,0.2802084088779362
dpkts,0.2734936488281836
sinpkt,0.246928372210937
tcprtt,0.2365814946903806
synack,0.2352144536604004
ackdat,0.2338262609149777
sjit,0.20813301436489717
state,0.18266478575292577
djit,0.1779339381581604
spkts,0.17674776374712553
dloss,0.14495862885493693
ct_dst_sport_ltm,0.13480209959698541
proto,0.12749023118915614
sloss,0.11617248378927592
ct_dst_ltm,0.11230902707510948
ct_srv_dst,0.10122906142166932
ct_dst_src_ltm,0.09549790574210992
ct_src_ltm,0.09083863601271513
ct_src_dport_ltm,0.08670609516533556
ct_srv_src,0.08636303543696311
swin,0.06755579594712335
stcpb,0.06620522259532291
dwin,0.06383763458099412
dtcpb,0.0597652117019607
service,0.04136125373860766
response_body_len,0.03435346309989962
is_sm_ips_ports,0.018177347904139163
trans_depth,0.0023136210133241075
ct_flw_http_mthd,0.0013773114226620642
ct_ftp_cmd,4.546893308821076e-05
is_ftp_login,0.0
